BOF;REPOSITORY;1.0
TABLE;calculations
COMMENT;ID;NAME;CIE_SYNTAX;DEPRECATED
T;1;"GICS";passthrough:'GICS':int;0
T;2;"ICB";passthrough:'ICB':int;0
T;3;"INDEX WEIGHT"*CFACTOR*100;;1
T;4;"ZAR";;1
T;5;#45*QUOTATION_VALUE;passthrough:SHARES_UNADJ * QUOTATION_VALUE:int;0
T;6;("INDEX MARKET CAP"*CFACTOR)/1000000;;1
T;7;("INDEX SHARES"*CFACTOR)/1000000;;1
T;8;((((PA_PRICE(0)+PA_ACCRUED(0)+PA_COUPON(0))/(PA_PRICE(-1D)+PA_ACCRUED(-1D)))*(PA_INFLATION(0)/PA_INFLATION(-1D))-1)*100;logic:(((PA_PRICE + PA_ACCRUED + PA_COUPON) / (PA_PRICE(-1D) + PA_ACCRUED(-1D))) * (PA_INFLATION / PA_INFLATION(-1D)) - 1) * 100:int;0
T;9;((((PRICE_LOC+SPIN_DIV_LOC )+DIV_NET_LOC )/PRICE_LOC univ=CONS_ND from t-1 )-1)*100;passthrough:((((PRICE_LOC + SPIN_DIV_LOC) + DIV_NET_LOC) / fetchExternalValue('CONS_ND',<CONSTITUENTS_ID>,'PRICE_LOC',PREV_DATE)) - 1) * 100:int;0
T;10;((((PRICE_USD+SPIN_DIV_USD )+DIV_NET_USD )/PRICE_USD univ=CONS_ND from t-1 )-1)*100;passthrough:((((PRICE_USD + SPIN_DIV_USD) + DIV_NET_USD) / fetchExternalValue('CONS_ND',<CONSTITUENTS_ID>,'PRICE_USD',PREV_DATE)) - 1) * 100:int;0
T;11;(((MCAP_EUR)*100)/(Sum of MCAP_EUR))*RATE;logic:((MCAP_EUR * 100) / sum(MCAP_EUR)) * RATE:int;0
T;12;(((PA_ACCRUED(t)+PA_PRICE(t)+PA_COUPON(t))/(PA_ACCRUED(t-1)+PA_PRICE(t-1)))-1)*100;logic:(((PA_ACCRUED + PA_PRICE + PA_COUPON) / (PA_ACCRUED(-1D) + PA_PRICE(-1D))) - 1) * 100:int;0
T;13;((1+TRET_CHG_1D_GROSS_LOC)*(XRATE_LOC_TO_EUR(0)/XRATE_LOC_EUR(-1D))-1)*100;passthrough:(((1 + TRET_CHG_1D_GROSS_LOC) * (XRATE_LOC_TO_EUR / XRATE_LOC_EUR(-1D))) - 1) * 100:int;0
T;14;((1+TRET_CHG_1D_GROSS_LOC)*(XRATE_LOC_TO_GBP(0)/XRATE_LOC_GBP(-1D))-1)*100;logic:((1 + TRET_CHG_1D_GROSS_LOC) * (XRATE_LOC_TO_GBP / XRATE_LOC_GBP(-1D)) - 1) * 100:int;0
T;15;((1+TRET_CHG_1D_GROSS_REAL_LOC)*(XRATE_LOC_TO_EUR(0)/XRATE_LOC_EUR(-1D))-1)*100;passthrough:(((1 + TRET_CHG_1D_GROSS_REAL_LOC) * (XRATE_LOC_TO_EUR / XRATE_LOC_EUR(-1D))) - 1) * 100:int;0
T;16;((1+TRET_CHG_1D_GROSS_REAL_LOC)*(XRATE_LOC_TO_GBP(0)/XRATE_LOC_GBP(-1D))-1)*100;logic:((1 + TRET_CHG_1D_GROSS_REAL_LOC) * (XRATE_LOC_TO_GBP/XRATE_LOC_GBP(-1D)) - 1) * 100:int;0
T;17;((1+TRET_CHG_1D_GROSS_REAL_MTD)*(XRATE_LOC_TO_EUR(0)/XRATE_LOC_EUR(-1D))-1)*100;passthrough:(((1 + TRET_CHG_1D_GROSS_REAL_MTD) * (XRATE_LOC_TO_EUR / XRATE_LOC_EUR(-1D))) - 1) * 100:int;0
T;18;((1+TRET_CHG_1D_GROSS_REAL_MTD)*(XRATE_LOC_TO_GBP(0)/XRATE_LOC_GBP(-1D))-1)*100;logic:((1 + TRET_CHG_1D_GROSS_REAL_MTD) * (XRATE_LOC_TO_GBP/XRATE_LOC_GBP(-1D)) - 1) * 100:int;0
T;19;((1+TRET_CHG_1D_GROSS_USD)*(XRATE_LOC_TO_USD(-1)/XRATE_LOC_TO_USD(0))-1)*100;logic:((1 + TRET_CHG_1D_GROSS_USD) * (XRATE_LOC_TO_USD(-1D)/XRATE_LOC_TO_USD) - 1) * 100:int;0
T;20;((1+TRET_CHG_MTD_GROSS_LOC)*(XRATE_LOC_TO_EUR(0)/XRATE_LOC_EUR(-1D))-1)*100;passthrough:(((1 + TRET_CHG_MTD_GROSS_LOC) * (XRATE_LOC_TO_EUR / XRATE_LOC_EUR(-1D))) - 1) * 100:int;0
T;21;((1+TRET_CHG_MTD_GROSS_LOC)*(XRATE_LOC_TO_GBP(0)/XRATE_LOC_GBP(-1D))-1)*100;logic:((1 + TRET_CHG_MTD_GROSS_LOC) * (XRATE_LOC_TO_GBP/XRATE_LOC_GBP(-1D)) - 1) * 100:int;0
T;22;((current PRICE_CHF/previous PRICE_CHF)-1)*100;logic:((PRICE_CHF / PRICE_CHF(-1D)) - 1) * 100:int;0
T;23;((current PRICE_DKK/previous PRICE_DKK)-1)*100;logic:((PRICE_DKK / PRICE_DKK(-1D)) - 1) * 100:int;0
T;24;((current PRICE_NOK/previous PRICE_NOK)-1)*100;logic:((PRICE_NOK / PRICE_NOK(-1D)) - 1) * 100:int;0
T;25;((current PRICE_SEK/previous PRICE_SEK)-1)*100;logic:((PRICE_SEK / PRICE_SEK(-1D)) - 1) * 100:int;0
T;26;((current TOTAL_RETURN_GROSS_CHF/previous TOTAL_RETURN_GROSS_CHF)-1)*100;logic:((TOTAL_RETURN_GROSS_CHF / TOTAL_RETURN_GROSS_CHF(-1D)) - 1) * 100:int;0
T;27;((current TOTAL_RETURN_GROSS_DKK/previous TOTAL_RETURN_GROSS_DKK)-1)*100;logic:((TOTAL_RETURN_GROSS_DKK / TOTAL_RETURN_GROSS_DKK(-1D)) - 1) * 100:int;0
T;28;((current TOTAL_RETURN_GROSS_GBP/previous TOTAL_RETURN_GROSS_GBP)-1)*100;logic:((TOTAL_RETURN_GROSS_GBP / TOTAL_RETURN_GROSS_GBP(-1D)) - 1) * 100:int;0
T;29;((current TOTAL_RETURN_GROSS_JPY/previous TOTAL_RETURN_GROSS_JPY)-1)*100;logic:((TOTAL_RETURN_GROSS_JPY / TOTAL_RETURN_GROSS_JPY(-1D)) - 1) * 100:int;0
T;30;((current TOTAL_RETURN_GROSS_NOK/previous TOTAL_RETURN_GROSS_NOK)-1)*100;logic:((TOTAL_RETURN_GROSS_NOK / TOTAL_RETURN_GROSS_NOK(-1D)) - 1) * 100:int;0
